연번,학교급,시군명,읍면동,설립별,학교명,신설휴원,학급수,학생수,우편번호,주소,연락처,팩스번호,비고
1,유치원,천안,성황동,공립,천안초등학교병설유치원,,1,9,31122,충남 천안시 동남구 중앙로 169,041-563-9807,041-568-0763,
2,유치원,천안,오룡동,공립,천안중앙초등학교병설유치원,휴원,0,0,31129,충남 천안시 동남구 영성로 73,041-552-3559,041-552-3564,2024-03-01자 휴원
3,유치원,천안,원성동,공립,천안남산초등학교병설유치원,,2,22,31132,충남 천안시 동남구 버들1길30,041-556-2910,041-551-8102,
4,유치원,천안,백석동,공립,환서초등학교병설유치원,휴원,0,0,31097,충남 천안시 서북구 한들2로 34-41,041-551-8380,041-553-4384,2024-03-01자 휴원
5,유치원,천안,부대동,공립,천안부대초등학교병설유치원,,1,18,31080,충남 천안시 서북구 공대길 37,041-551-2461,041-555-6059,
6,유치원,천안,업성동,공립,천안업성초등학교병설유치원,,1,8,31076,충남 천안시 서북구 업성 5길 20 ,041-583-3687,041-583-0600,
7,유치원,천안,청수동,공립,천안청수초등학교병설유치원,,5,43,31190,충남 천안시 동남구 청수로 35-3,041-551-6700,041-551-8954,
8,유치원,천안,원성동,공립,천안신안초등학교병설유치원,,4,35,31125,충남 천안시 동남구 원성25길 21,041-622-7605,041-622-7604,
9,유치원,천안,안서동,공립,안서초등학교병설유치원,휴원,0,0,31066,충남 천안시 동남구 중앙3길 10,041-551-4530,041-551-4533,2024-03-01자 휴원
10,유치원,천안,봉명동,공립,천안봉명초등학교병설유치원,,3,22,31151,충남 천안시 동남구 봉명2길 11,041-576-3236,041-577-3235,
11,유치원,천안,구성동,공립,천안구성초등학교병설유치원,,2,22,31194,충남 천안시 동남구 청수로 126,041-569-8749,041-567-0828,
12,유치원,천안,봉명동,공립,천안봉서초등학교병설유치원,,2,11,31148,충남 천안시 동남구 봉서10길 12,041-577-3327,041-574-8584,
13,유치원,천안,쌍용동,공립,천안미라초등학교병설유치원,,5,23,31155,충남 천안시 서북구 미라2길 13,041-571-0147,041-571-4272,
14,유치원,천안,쌍용동,공립,천안쌍용초등학교병설유치원,,5,36,31166,충남 천안시 서북구 쌍용6길 9,041-571-8618,041-571-8613,
15,유치원,천안,용곡동,공립,천안용소초등학교병설유치원,,1,6,31184,충남 천안시 동남구 일봉로 82-18,041-579-8145,041-579-8139,
16,유치원,천안,청당동,공립,천안청당초등학교병설유치원,,2,21,31211,충남 천안시 동남구 청당2길 94,041-523-2595,041-523-2589,
17,유치원,천안,청당동,공립,천안가온초등학교병설유치원,,2,15,31200,충남 천안시 동남구 청수14로 21,041-522-1732,041-522-1735,
18,유치원,천안,풍세면,공립,풍세초등학교병설유치원,,2,28,31217,충남 천안시 동남구 풍세면 풍세2길 5,041-553-3846,041-566-7444,
19,유치원,천안,풍세면,공립,용정초등학교병설유치원,,1,6,31214,충남 천안시 동남구 풍세면 용정길 8-7,041-566-7188,041-566-0374,
20,유치원,천안,풍세면,공립,미죽초등학교병설유치원,,1,4,31215,충남 천안시 동남구 풍세면 미죽2길 7,041-565-0238,041-566-0118,
21,유치원,천안,광덕면,공립,광덕초등학교병설유치원,,1,6,31221,충남 천안시 동남구 광덕면 신흥리3길 36 ,041-567-6696,041-568-2613,
22,유치원,천안,광덕면,공립,행정초등학교병설유치원,휴원,0,0,31223,충남 천안시 동남구 광덕면 광덕로 534,041-566-8388,041-566-0093,2024-03-01자 휴원
23,유치원,천안,광덕면,공립,보산원초등학교병설유치원,,1,4,31218,충남 천안시 동남구 광덕면 보산원2길 33,041-567-0344,041-568-2976,
24,유치원,천안,목천읍,공립,목천초등학교병설유치원,,1,5,31231,충남 천안시 동남구 목천읍 서리2길 31,041-555-2016,041-556-8896,
25,유치원,천안,목천읍,공립,신계초등학교병설유치원,,1,4,31233,충남 천안시 동남구 목천읍 천정1길 243-9,041-557-1163,041-557-8892,
26,유치원,천안,목천읍,공립,도장초등학교병설유치원,휴원,0,0,31225,충남 천안시 동남구 목천읍 도장1길 73,041-553-3022,041-566-0094,2024-03-01자 휴원
27,유치원,천안,목천읍,공립,신흥초등학교병설유치원,,1,4,31233,충남 천안시 동남구 목천읍 신계5길 27,041-557-0383,041-557-0385,
28,유치원,천안,북면,공립,위례초등학교병설유치원,,1,2,31238,충남 천안시 동남구 북면 오곡2길 6-13,041-554-7363,041-554-3534,도서벽지
29,유치원,천안,북면,공립,은석초등학교병설유치원,,1,3,31242,충남 천안시 동남구 북면 용암3길 10,041-556-4061,041-553-3439,
30,유치원,천안,성남면,공립,성남초등학교병설유치원,,1,4,31248,충남 천안시 동남구 성남면 대흥신덕길 95,041-553-0032,041-553-8894,
31,유치원,천안,성남면,공립,신사초등학교병설유치원,,1,4,31245,충남 천안시 동남구 성남면 신사대화로 155,041-553-7122,041-553-8890,
32,유치원,천안,수신면,공립,수신초등학교병설유치원,,1,3,31251,충남 천안시 동남구 수신면 수신로 459,041-522-0104,041-522-0105,1면1원
33,유치원,천안,병천면,공립,병천초등학교병설유치원,,1,3,31254,충남 천안시 동남구 병천면 병천2로 35,041-564-1021,041-561-9661,1면1원
34,유치원,천안,동면,공립,천동초등학교병설유치원,,1,1,31258,충남 천안시 동남구 동면 동산1길 59,041-553-4013,041-523-4006,1면1원
35,유치원,천안,성환읍,공립,성환초등학교병설유치원,,1,7,31015,충남 천안시 서북구 성환읍 성환12길 37,041-581-9555,041-581-0267,
36,유치원,천안,성환읍,공립,성신초등학교병설유치원,,1,3,31014,충남 천안시 서북구 성환읍 성환12길 7,041-581-1820,041-581-0130,
37,유치원,천안,성환읍,공립,대홍초등학교병설유치원,휴원,0,0,31005,충남 천안시 서북구 성환읍 잠실길 4,041-581-1017,041-581-5088,2023-03-01자 휴원
38,유치원,천안,성환읍,공립,신가초등학교병설유치원,휴원,0,0,31001,충남 천안시 서북구 성환읍 성환신흥2길 2,041-581-2705,041-581-0131,2025-03-01자 휴원
39,유치원,천안,성환읍,공립,신방초등학교병설유치원,,1,12,31000,충남 천안시 서북구 성환읍 신방로 73,041-582-1925,041-581-7753,
40,유치원,천안,성환읍,공립,도하초등학교병설유치원,,1,7,31005,충남 천안시 서북구 성환읍 연암로 382,041-581-1503,041-581-0684,
41,유치원,천안,직산읍,공립,직산초등학교병설유치원,휴원,0,0,31032,충남 천안시 서북구 직산읍 직산안길 79,041-581-3708,041-581-0683,2025-03-01자 휴원
42,유치원,천안,직산읍,공립,삼은초등학교병설유치원,,2,10,31037,충남 천안시 서북구 직산읍 삼은2길 11,041-583-0046,041-583-8587,
43,유치원,천안,직산읍,공립,양당초등학교병설유치원,휴원,0,0,31029,충남 천안시 서북구 직산읍 양당1길 9-12,041-584-0015,041-584-0016,2024-03-01자 휴원
44,유치원,천안,성거읍,공립,성거초등학교병설유치원,,1,10,31046,충남 천안시 서북구 성거읍 소댕이3길 606-21,041-555-4684,041-622-4749,
45,유치원,천안,입장면,공립,입장초등학교병설유치원,,1,3,31055,충남 천안시 서북구 입장면 하장4길 19,041-585-3995,041-585-3997,
46,유치원,천안,다가동,공립,천안일봉유치원,,8,86,31154,충남 천안시 동남구 다가2길 3,041-577-1923,041-577-1925,
47,유치원,천안,두정동,공립,천안도솔유치원,,11,80,31111,충남 천안시 서북구 두정역동3길 3,041-522-9791,041-522-9789,
48,유치원,천안,성정동,공립,천안성정유치원,,7,66,31141,충남 천안시 서북구 성정7길 3,041-571-1057,041-571-1059,
49,유치원,천안,불당동,공립,천안버들유치원,,13,208,31156,충남 천안시 서북구 불당23로 41,041-906-7771,041-906-7773,
50,유치원,천안,성성동,공립,천안성성유치원,,12,156,31079,충남 천안시 서북구 성성10길 10-4,041-564-1832,041-554-1832,
51,유치원,천안,성성동,공립,천안꽃마루유치원,,12,176,31078,충남 천안시 서북구 성성6로 37,041-418-5040,041-622-6683,
52,유치원,천안,불당동,공립,천안불당유치원,,14,208,31156,충남 천안시 서북구 불당27로 12,041-567-1571,041-567-1574,
53,유치원,천안,신방동,공립,천안신촌초등학교병설유치원,,1,11,31177,충남 천안시 동남구 신촌4로 9,041-577-6858,041-577-6855,
54,유치원,천안,성거읍,공립,소망초등학교병설유치원,,1,3,31048,충남 천안시 서북구 성거읍 역전말3길 102 ,041-587-0072,041-587-0071,
55,유치원,천안,신방동,공립,천안새샘초등학교병설유치원,,1,7,31207,충남 천안시 동남구 통정9로 58,041-413-2390,041-413-2309,
56,유치원,천안,입장면,공립,양대초등학교병설유치원,휴원,0,0,31055,충남 천안시 서북구 입장면 성진로 858,041-584-5077,041-583-9175,2024-03-01자 휴원
